name,wins,losses,height_cm,weight_in_kg,reach_in_cm,stance,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,lightweight,welterweight,middleweight,light-heavyweight,wins_to_losses_ratio
Jeremy Lang,21,2,0.9102564102564102,1.0,0.9077178278330714,Southpaw,1.13,50.0,1.41,42.0,4.22,60.0,0.0,4.2,0,0,0,1,10.5
Rene Kronvold,5,1,0.8831168831168831,0.9289242259968677,0.9077441077441077,Orthodox,0.82,100.0,2.47,60.0,0.0,0.0,66.0,4.1,0,0,1,0,5.0
Rousimar Palhares,19,8,0.8831168831168831,0.9289242259968677,0.8765432098765432,Orthodox,1.75,51.0,2.04,59.0,3.93,45.0,0.0,4.1,0,0,1,0,2.375
Dustin Hazelett,12,7,0.9480519480519479,0.9289242259968677,0.9382716049382716,Orthodox,2.24,40.0,3.51,46.0,0.55,50.0,25.0,4.1,0,0,1,0,1.7142857142857142
HanSeul Kim,13,5,0.9480519480519479,0.9289242259968677,0.9135802469135802,Southpaw,6.93,45.0,8.09,50.0,0.0,0.0,0.0,4.0,0,0,1,0,2.6
Shinya Aoki,39,7,0.9861111111111112,1.0,0.986111111111111,Southpaw,0.97,58.0,1.25,58.0,2.54,41.0,60.0,4.0,1,0,0,0,5.571428571428571
Marcus Hicks,10,4,0.8684210526315789,0.9227034120734908,0.8,Southpaw,1.42,43.0,3.06,61.0,2.7,53.0,25.0,4.0,0,1,0,0,2.5
Dan Evensen,11,4,0.8426966292134831,0.3246771838405818,0.896911663216011,Orthodox,0.27,10.0,3.86,38.0,0.0,0.0,0.0,4.0,0,0,0,0,2.75
Ralph Gracie,6,1,0.896103896103896,1.0,0.9077441077441077,Orthodox,0.86,37.0,1.72,31.0,0.0,0.0,25.0,4.0,0,0,1,0,6.0
Charlie Kohler,8,4,0.9078947368421052,0.9227034120734908,0.8944944598337952,Orthodox,0.81,33.0,4.31,46.0,0.0,0.0,0.0,4.0,0,1,0,0,2.0
Alberto Crane,15,5,0.8552631578947368,0.9227034120734908,0.8944944598337952,Orthodox,0.43,25.0,2.61,57.0,0.0,0.0,50.0,4.0,0,1,0,0,3.0
Mike Hayes,20,12,0.8539325842696629,0.29870873536232717,0.896911663216011,Orthodox,4.87,55.0,1.47,77.0,0.0,0.0,75.0,4.0,0,0,0,0,1.6666666666666667
Steve Byrnes,6,1,0.9350649350649349,0.9289242259968677,0.9077441077441077,Orthodox,1.2,51.0,2.67,27.0,3.0,60.0,0.0,4.0,0,0,1,0,6.0
Bill Mahood,20,7,0.9615384615384616,0.9755887729863426,0.9077178278330714,Orthodox,1.54,85.0,3.59,17.0,0.0,0.0,0.0,3.9,0,0,0,1,2.857142857142857
Abongo Humphrey,7,3,0.9102564102564102,1.0,0.9077178278330714,Orthodox,1.45,40.0,3.83,46.0,1.41,37.0,33.0,3.8,0,0,0,1,2.3333333333333335
Antonio Trocoli,12,3,0.9871794871794872,1.0,0.9879518072289157,Orthodox,1.27,71.0,4.56,25.0,3.8,100.0,100.0,3.8,0,0,0,1,4.0
Hector Urbina,17,10,0.922077922077922,0.9289242259968677,0.9012345679012345,Orthodox,0.97,38.0,2.44,39.0,0.0,0.0,38.0,3.8,0,0,1,0,1.7
Gabriel Bonfim,15,1,0.9480519480519479,0.9289242259968677,0.8888888888888888,Orthodox,4.87,40.0,5.25,59.0,4.75,71.0,100.0,3.8,0,0,1,0,15.0
James Wilks,7,4,0.9480519480519479,0.9289242259968677,0.9259259259259259,Orthodox,1.82,45.0,2.03,50.0,1.27,22.0,66.0,3.8,0,0,1,0,1.75
Brady Fink,2,3,0.9350649350649349,1.0,0.9077441077441077,Orthodox,1.69,41.0,1.69,61.0,3.63,25.0,0.0,3.6,0,0,1,0,0.6666666666666666
Tatsuya Mizuno,16,12,0.9358974358974358,1.0,0.9077178278330714,Southpaw,2.25,37.0,3.52,53.0,1.19,25.0,40.0,3.6,0,0,0,1,1.3333333333333333
Per Eklund,14,5,0.9210526315789475,0.9227034120734908,0.9,Orthodox,2.07,61.0,2.38,67.0,2.07,11.0,50.0,3.6,0,1,0,0,2.8
Daisuke Nakamura,28,19,0.9305555555555556,1.0,0.9305555555555557,Orthodox,0.94,30.0,1.38,61.0,0.46,40.0,30.0,3.6,1,0,0,0,1.4736842105263157
